# Athena++ data at time=0.000000e+00  cycle=0  variables=hydro.prim 
# i       x1v         hydro.prim.rho          hydro.prim.util_u_1          hydro.prim.util_u_2          hydro.prim.util_u_3          hydro.prim.p      
0070 -9.2529296875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0071 -9.2041015625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0072 -9.1552734375 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0073 -9.1064453125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0074 -9.0576171875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0075 -9.0087890625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0076 -8.9599609375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0077 -8.9111328125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0078 -8.8623046875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0079 -8.8134765625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0080 -8.7646484375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0081 -8.7158203125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0082 -8.6669921875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0083 -8.6181640625 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0084 -8.5693359375 5.00000000000000078e-15 0 0 0 9.21286222993236007e-18
0085 -8.5205078125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0086 -8.4716796875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0087 -8.4228515625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0088 -8.3740234375 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0089 -8.3251953125 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0090 -8.2763671875 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
0091 -8.2275390625 4.99999999999999999e-15 0 0 0 9.21286222993236007e-18
